date,Demand,tipo,conf_lower,conf_upper
2011-03-01,272758.0,real,,
2011-06-01,272011.0,real,,
2011-07-01,279968.0,real,,
2011-11-01,256114.0,real,,
2012-01-01,253903.0,real,,
2012-03-01,266044.0,real,,
2012-06-01,269866.0,real,,
2012-07-01,273119.0,real,,
2012-11-01,254478.0,real,,
2013-01-01,258264.0,real,,
2013-03-01,267857.0,real,,
2013-06-01,272326.0,real,,
2013-07-01,283530.0,real,,
2013-11-01,267684.0,real,,
2014-01-01,256477.0,real,,
2014-03-01,269597.0,real,,
2014-06-01,271181.0,real,,
2014-07-01,286709.0,real,,
2014-11-01,267635.0,real,,
2015-01-01,267812.0,real,,
2015-03-01,280753.0,real,,
2015-06-01,282512.0,real,,
2015-07-01,293579.0,real,,
2015-11-01,273349.0,real,,
2016-01-01,268252.0,real,,
2016-03-01,290568.0,real,,
2016-06-01,288238.0,real,,
2016-07-01,296905.0,real,,
2016-11-01,276997.0,real,,
2017-01-01,263708.0,real,,
2017-03-01,289083.0,real,,
2017-06-01,293168.0,real,,
2017-07-01,297452.0,real,,
2017-11-01,273314.0,real,,
2018-01-01,272415.0,real,,
2018-03-01,293401.0,real,,
2018-06-01,293911.0,real,,
2018-07-01,298852.0,real,,
2018-11-01,278712.0,real,,
2019-01-01,272130.0,real,,
2019-03-01,284706.0,real,,
2019-06-01,291099.0,real,,
2019-07-01,295522.0,real,,
2019-11-01,276272.0,real,,
2020-01-01,270430.0,real,,
2020-03-01,241149.0,real,,
2020-06-01,248746.0,real,,
2020-07-01,262269.0,real,,
2020-11-01,240041.0,real,,
2021-01-01,239423.0,real,,
2021-03-01,265148.0,real,,
2021-06-01,280850.0,real,,
2021-07-01,288209.0,real,,
2021-11-01,270632.0,real,,
2022-01-01,249918.0,real,,
2022-03-01,279159.0,real,,
2022-06-01,272253.0,real,,
2022-07-01,273158.0,real,,
2022-11-01,264805.0,real,,
2023-01-01,257022.0,real,,
2023-03-01,281385.0,real,,
2023-06-01,280972.0,real,,
2023-07-01,278349.0,real,,
2023-11-01,267295.0,real,,
2024-01-01,257001.0,real,,
2024-03-01,277049.0,real,,
2024-06-01,275982.0,real,,
2024-07-01,288847.0,real,,
2024-11-01,264970.0,real,,
2025-01-01,262966.0,real,,
2025-03-01,271701.0,real,,
2025-06-01,277848.0,real,,
2025-07-01,283654.0,real,,
2025-11-01,260395.0,real,,
2025-12-01,316874.76589658967,forecast,178934.50413597486,454815.0276572045
2026-01-01,317444.4497643525,forecast,179504.1880037377,455384.71152496734
2026-02-01,318014.1336321153,forecast,180073.8718715005,455954.39539273013
2026-03-01,318583.8174998781,forecast,180643.5557392633,456524.07926049293
2026-04-01,319153.5013676409,forecast,181213.2396070261,457093.7631282557
2026-05-01,319723.1852354037,forecast,181782.9234747889,457663.4469960185
2026-06-01,320292.8691031665,forecast,182352.6073425517,458233.1308637813
2026-07-01,320862.5529709293,forecast,182922.2912103145,458802.8147315441
2026-08-01,321432.2368386921,forecast,183491.9750780773,459372.4985993069
2026-09-01,322001.9207064549,forecast,184061.65894584008,459942.1824670697
2026-10-01,322571.60457421775,forecast,184631.34281360294,460511.86633483256
2026-11-01,323141.28844198055,forecast,185201.02668136574,461081.55020259536
